newspaper,circ_2004,circ_2013,change_0413,prizes_9014
USA Today,2192098,1674306,-24%,3
Wall Street Journal,2101017,2378827,+13%,51
New York Times,1119027,1865318,+67%,118
Los Angeles Times,983727,653868,-34%,86
Washington Post,760034,474767,-38%,101
New York Daily News,712671,516165,-28%,7
New York Post,642844,500521,-22%,1
Chicago Tribune,603315,414930,-31%,39
San Jose Mercury News,558874,583998,+4%,7
Newsday,553117,377744,-32%,19
Houston Chronicle,549300,360251,-34%,6
Dallas Morning News,528379,409265,-23%,18
San Francisco Chronicle,499008,218987,-56%,10
Arizona Republic,466926,293640,-37%,8
Chicago Sun-Times,453757,470548,+4%,3
Boston Globe,446241,245572,-45%,42
Atlanta Journal Constitution,409873,231094,-44%,7
Newark Star Ledger,395000,340778,-14%,9
Detroit Free Press,379304,209652,-45%,13
Minneapolis Star Tribune,377058,301345,-20%,9
Philadelphia Inquirer,376454,306831,-18%,33
Cleveland Plain Dealer,367528,311605,-15%,12
San Diego Union-Tribune,355771,250678,-30%,3
Tampa Bay Times,348502,340260,-2%,22
Denver Post,340168,416676,+22%,10
Rocky Mountain News,340007,0,-100%,6
Oregonian,339169,228909,-33%,18
Miami Herald,325032,147130,-55%,25
Orange County Register,310001,356165,+15%,6
Sacramento Bee,303841,200802,-34%,9
St. Louis Post-Dispatch,281198,167199,-41%,8
Baltimore Sun,277947,177054,-36%,14
Kansas City Star,275747,189283,-31%,3
Detroit News,271465,115643,-57%,5
Orlando Sentinel,269269,161070,-40%,8
South Florida Sun-Sentinel,268297,163728,-39%,2
New Orleans Times-Picayune,262008,0,-100%,9
Columbus Dispatch,259127,137148,-47%,2
Indianapolis Star,253778,156850,-38%,2
San Antonio Express-News,246057,139005,-44%,1
Pittsburgh Post-Gazette,242514,180433,-26%,4
Milwaukee Journal Sentinel,241605,198469,-18%,11
Tampa Tribune,238877,191477,-20%,1
Fort Woth Star-Telegram,237318,188593,-21%,2
Boston Herald,236899,95929,-60%,1
Seattle Times,233497,229764,-2%,17
Charlotte Observer,231369,137829,-40%,5
Daily Oklahoman,223403,124667,-44%,1
Louisville Courier-Journal,216934,131208,-40%,4
Investor's Buisiness Daily,215735,157161,-27%,2
